stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2463,0963,"Teofilów Rojna",,51.795800,19.361410,1,,0,,,0
2465,0797,"pl. Niepodległości",,51.740340,19.463120,1,,0,,,0
2466,1441,"Zgierska-Sikorskiego NŻ",,51.816930,19.433780,1,,0,,,0
2467,1753,"Dąbrowskiego-Dw. Łódź Dąbrowa NŻ",,51.735670,19.510920,1,,0,,,0
2468,1754,"Dąbrowskiego-Dw. Łódź Dąbrowa NŻ",,51.736110,19.511200,1,,0,,,0
2469,3498,"Innowacyjna NŻ",,51.745020,19.363400,1,,0,,,0
2470,3499,"ŁSSE ks. Janika",,51.743120,19.360660,1,,0,,,0
2471,3500,"ŁSSE Inwestycyjna NŻ",,51.740980,19.362240,1,,0,,,0
2498,1310,"Rojna-Wiernej Rzeki",,51.793630,19.379760,1,,0,,,0
2499,1311,"Rojna-Wiernej Rzeki",,51.793800,19.379970,1,,0,,,0
2515,0867,"Zagajnikowa-Okopowa",,51.795070,19.477010,1,,0,,,0
2516,0868,"Zagajnikowa-Okopowa",,51.795750,19.476520,1,,0,,,0
2517,0947,"Rewolucji 1905r.-Wschodnia",,51.775080,19.459270,1,,0,,,0
2520,0500,"Maczka-Pienista NŻ",,51.733280,19.405070,1,,0,,,0
2525,3501,"Wiączyń Dolny 96 NŻ",,51.757760,19.631640,1,,0,,,0
2526,3502,"Wiączyń Dolny 96 NŻ",,51.757390,19.631470,1,,0,,,0
2541,0627,"Lodowa-Przybyszewskiego NŻ",,51.751120,19.520720,1,,0,,,0
2547,0667,"Ustronna-Zagadkowa NŻ",,51.707720,19.468540,1,,0,,,0
2548,0668,"Ustronna-Zagadkowa NŻ",,51.707590,19.468650,1,,0,,,0
2549,0777,"Siostrzana-Bartoszewskiego",,51.705530,19.468160,1,,0,,,0
2550,0778,"Siostrzana-Bartoszewskiego",,51.705140,19.466660,1,,0,,,0
2551,0780,"Paradna-Ustronna",,51.711620,19.466550,1,,0,,,0
2552,0862,"Pryncypalna-Bartoszewskiego NŻ",,51.717710,19.457750,1,,0,,,0
2553,0863,"Pryncypalna-Bartoszewskiego NŻ",,51.717430,19.456440,1,,0,,,0
2554,0937,"Bartoszewskiego-Pabianicka",,51.726120,19.448320,1,,0,,,0
2555,0938,"Bartoszewskiego-Pryncypalna",,51.718140,19.456970,1,,0,,,0
2556,0939,"Bartoszewskiego-Pryncypalna",,51.716920,19.457270,1,,0,,,0
2557,0940,"Bartoszewskiego-Demokratyczna",,51.711180,19.462310,1,,0,,,0
2558,0941,"Bartoszewskiego-Demokratyczna",,51.712570,19.462220,1,,0,,,0
2559,0942,"Bartoszewskiego-Siostrzana",,51.704810,19.467880,1,,0,,,0
2560,0943,"Bartoszewskiego-Siostrzana",,51.705970,19.467310,1,,0,,,0
2561,0989,"Rzgowska-Bartoszewskiego NŻ",,51.700620,19.480120,1,,0,,,0
2562,1034,"Bartoszewskiego-Rzgowska NŻ",,51.700150,19.478600,1,,0,,,0
2563,1298,"Jana Pawła II-Pabianicka",,51.727750,19.447040,1,,0,,,0
2564,1299,"Pabianicka-Dw. Łódź Pabianicka NŻ",,51.726330,19.446870,1,,0,,,0
2565,2073,"Przestrzenna-Rudzka",,51.703070,19.437810,1,,0,,,0
2567,3504,"Stara Gadka-cmentarz NŻ",,51.678310,19.469990,2,,0,,,0
2579,2048,"Kopcińskiego-Piłsudskiego",,51.763130,19.484850,1,,0,,,0
2580,0779,"Traktorowa-Rojna",,51.791850,19.393170,1,,0,,,0
2581,0781,"Traktorowa-Rojna",,51.793050,19.393730,1,,0,,,0
2589,0508,"Brójecka-Czternastu Straconych NŻ",,51.708620,19.544610,1,,0,,,0
2590,0510,"Brójecka-Czternastu Straconych NŻ",,51.707960,19.544970,1,,0,,,0
2592,1186,"Bronisin-Brójecka NŻ",,51.691740,19.529100,1,,0,,,0
2593,1190,"Bronisin-Paprociowa NŻ",,51.698980,19.526120,1,,0,,,0
2594,1243,"Bronisin-Paprociowa NŻ",,51.698600,19.526240,1,,0,,,0
2595,1245,"Bronisin-Wiskicka NŻ",,51.702880,19.519740,1,,0,,,0
2596,1247,"Bronisin-Wiskicka NŻ",,51.703190,19.519600,1,,0,,,0
2597,3505,"Wiączyń Dolny 16 NŻ",,51.771450,19.619110,1,,0,,,0
2598,3506,"Wiączyń Dolny 16 NŻ",,51.771780,19.618520,1,,0,,,0
2606,2074,"Brójecka-Paprociowa NŻ",,51.697580,19.539430,1,,0,,,0
2607,2075,"Brójecka-Paprociowa NŻ",,51.697400,19.539070,1,,0,,,0
2608,1117,"Maczka-Pienista NŻ",,51.732960,19.404920,1,,0,,,0
2611,3178,"Dworzec PKP(Pabianice)",,51.660380,19.325460,2,,0,,,0
2612,3340,"Myśliwska-Wschodnia(Pabianice)",,51.660450,19.389540,2,,0,,,0
2613,3341,"Myśliwska-Skargi(Pabianice)",,51.660570,19.389700,2,,0,,,0
2614,3342,"Myśliwska-Podleśna(Pabianice)",,51.655290,19.388700,2,,0,,,0
2615,3343,"Myśliwska-Dolna(Pabianice)",,51.655920,19.388960,2,,0,,,0
2616,3344,"Waltera - Janke pętla(Pabianice)",,51.652350,19.387690,2,,0,,,0
2617,3345,"Waltera-Janke-Waltera - Janke bl. 243(Pa",,51.651990,19.382010,2,,0,,,0
2618,3346,"Waltera-Janke-Waltera - Janke bl. 250(Pa",,51.651870,19.383030,2,,0,,,0
